,main,pros,cons
0,I have been working at Vivint Solar ,Friendly safe place work You treated fairly,Growth way fast 12 hour days just keep up
1,I have been working at Vivint Solar full-time for more than a year,Thank your feedback at Vivint Solar we strive provide our employees an excellent work environment,Lunch technically not 'free' comes out your paycheck but okay free soda new building
2,I worked at Vivint Solar full-time for more than a year,Mangers only care about themselves  over work so much gossip feel like high school,There lot positions at this company so can move different departments change roles fairly easy
3,I worked at Vivint Solar full-time for more than 3 years,I felt like there wasn't really any stability department worked Leadership changed little bit too often so there wasn't any real direction It's operation understand change workplace common thing but when things changing week week causes chaos morale can take hit,Free lunch always opportunity growth change  culture light fun some my co-workers became my best friends Overall environment
4,I have been working at Vivint Solar full-time,Like lot places it's big political game if know how play your advantage then you're golden but if not luck always felt pay was lacking was ignored when approaching leaders about serious issues  Felt like there was no transparency leadership when would repeatedly ask transparency we're all adults corporate setting let's stop beating around bush avoid hurting feelings  Leaders were put into positions they're not qualified because they were top performers top performers do not equal leaders Poor leadership leads poor teams poor culture,Fun culture relaxed atmosphere free ethically sourced lunches snacks drinks ability move up quickly if can survive initial low pay work/life balance some managers coworkers amazing inspiring people hearts gold
5,I have been working at Vivint Solar full-time for less than a year,low pay ($24k yr after taxes at large national company's corporate office joke) some lower level managers should not be their position if they can't be better-dishonesty inconsistency favoritism isn't professional look completely uninspiring coworkers those your team some supervisors managers AMAZING here Promotion practices questionable at best it's more about who know than work do This isn't one person opinion-ask around You hear this from more than one person and/or dept,Thank your feedback We care about our employees continually looking ways improve employee experience
6,I worked at Vivint Solar full-time for less than a year,There alot hours,Alot changing seems bit chaotic
7,I worked at Vivint Solar ,"If supervisor can be insulated from some BS
Unlimited PTO nice if can approved
Depending your supervisor  there quite bit flexibility working from home","IT leadership starting from CTO A direct quote from CTO when my manager was relaying complaint about overhead lights: ""they can just wear shades""  Since already wear prescription glasses their benefits plan only covers single pair how exactly am supposed pay those

You also never know if your project going be cancelled went from ""you doing management 100% behind this project"" To ""your project being mothballed but everyone your project be moved other projects nobody losing their job"" laid off (along dozens others) under 2 weeks"
8,I have been working at Vivint Solar full-time for more than a year,A new building,"Major lay-off Covid-19 
They don’t care about there employees 
One their values put people first guess meant hard times sacrifice your “people first”"
9,I worked at Vivint Solar full-time for more than 3 years, culture self development,Need be proactive succeed
10,I have been working at Vivint Solar ,Friendly safe place work You treated fairly,Growth way fast 12 hour days just keep up
