sys_RespNum,sys_StartTime,sys_EndTime,sys_ElapsedTime,sys_SumPageTimes,sys_StartTimeStamp,sys_EndTimeStamp,sys_DataSource,sys_RespStatus,sys_DispositionCode,sys_LastQuestion,sys_UserJavaScript,sys_OperatingSystem,sys_Browser,sys_IPAddress,sys_ScreenWidth,sys_CAPIDeviceID,StateofUtah_Choice1,StateofUtah_Choice2,StateofUtah_Choice3,StateofUtah_Choice4,StateofUtah_Choice5,StateofUtah_Choice6,StateofUtah_Choice7,StateofUtah_Choice8,StateofUtah_Choice9,StateofUtah_Choice10,StateofUtah_Choice11,StateofUtah_Choice12,StateofUtah_Choice13,StateofUtah_Choice14,StateofUtah_Choice15,WorkplacePerks_1,WorkplacePerks_2,WorkplacePerks_3,WorkplacePerks_4,WorkplacePerks_5,Zip,Gender,Dependents,Education,Age,workExperience,effectivelyServes,employmentOpportunities,benefits,StateofUtah_Fit,Salary_10% below industry average_Rescaled_Utility,Salary_Industry average_Rescaled_Utility,Salary_10% above industry average_Rescaled_Utility,Flexability_100% on-site hours 0% work at home_Rescaled_Utility,Flexability_75% on-site hours 25% work at home_Rescaled_Utility,Flexability_50% on-site hours 50% work at home_Rescaled_Utility,Flexability_25% on-site hours 75% work at home_Rescaled_Utility,Core_Health Care_Rescaled_Utility,Core_Company Retirement Plan_Rescaled_Utility,Core_Personal sick/vacation leave_Rescaled_Utility,Perks_Childcare credit_Rescaled_Utility,Perks_Tuition assistance_Rescaled_Utility,Perks_Paid parental/family leave_Rescaled_Utility,Perks_Paid professional develop_Rescaled_Utility,Stability_High Stability_Rescaled_Utility,Stability_Low Stability_Rescaled_Utility,Growth_High Growth_Rescaled_Utility,Growth_Low Growth_Rescaled_Utility,Salary_Importance,Flexability_Importance,Core_Importance,Perks_Importance,Stability_Importance,Growth_Importance
1,10 Feb 2020 - 18:08:37 MST,10 Feb 2020 - 18:10:39 MST,0h 2m 2s,0h 2m 1s,1581383317,1581383439,1,2,,StateofUtah_Choice8,1,Windows 10.0,Chrome 80.0.3987.87,,1536,,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10 Feb 2020 - 18:08:40 MST,10 Feb 2020 - 18:08:40 MST,0h 0m 0s,0h 0m 0s,1581383320,1581383320,1,2,,Text1,1,Windows 10.0,Chrome 79.0.3945.130,,1366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10 Feb 2020 - 18:08:41 MST,10 Feb 2020 - 18:15:04 MST,0h 6m 23s,0h 6m 17s,1581383321,1581383704,1,5,,Terminate1,1,,Safari 604.1,,414,,2,3,2,2,1,1,1,3,3,3,3,3,2,3,2,4,3,1,2,,84102,1,1,3,2,,,,,0.54522551,-74.51646818,-23.0462962,97.56276438,-42.58520788,-4.718860822,53.0372162,-5.733147499,8.357835965,-17.63671138,9.278875413,-22.63908926,17.27077973,32.49685611,-27.12854658,47.35466072,-47.35466072,75.52401622,-75.52401622,0.286798721,0.159370707,0.044859311,0.099375671,0.157848869,0.251746721
4,10 Feb 2020 - 18:08:51 MST,10 Feb 2020 - 18:08:59 MST,0h 0m 8s,0h 0m 7s,1581383331,1581383339,1,2,,StateofUtah_Choice1,1,,Safari 604.1,,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10 Feb 2020 - 18:09:24 MST,10 Feb 2020 - 18:09:24 MST,0h 0m 0s,0h 0m 0s,1581383364,1581383364,1,2,,Text1,1,,Safari 604.1,,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10 Feb 2020 - 19:57:13 MST,10 Feb 2020 - 19:57:21 MST,0h 0m 8s,0h 0m 12s,1581389833,1581389841,1,2,,StateofUtah_Choice1,1,Android 10,Chrome 80.0.3987.87,,393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10 Feb 2020 - 20:05:40 MST,10 Feb 2020 - 20:42:03 MST,0h 36m 23s,0h 38m 51s,1581390340,1581392523,1,5,,Terminate1,1,,Safari 604.1,,375,,3,3,2,2,3,2,3,2,3,2,1,1,2,1,1,4,1,3,2,,84092,2,1,5,4,2,2,1,1,0.576660447,-96.78461489,17.79689845,78.98771645,-9.282437232,13.85981116,-0.192094327,-4.385279603,-40.78308862,11.24479397,29.53829465,-13.54030192,-25.20664176,1.530225648,37.21671803,67.66742279,-67.66742279,66.50291582,-66.50291582,0.292953886,0.038570414,0.117202305,0.104038933,0.225558076,0.221676386
9,10 Feb 2020 - 20:09:46 MST,10 Feb 2020 - 20:09:46 MST,0h 0m 0s,0h 0m 0s,1581390586,1581390586,1,2,,Text1,1,,Safari 604.1,,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10 Feb 2020 - 20:25:56 MST,10 Feb 2020 - 20:26:01 MST,0h 0m 5s,0h 0m 4s,1581391556,1581391561,1,2,,StateofUtah_Choice1,1,,Mobile 15E148,,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,10 Feb 2020 - 20:26:24 MST,10 Feb 2020 - 20:26:24 MST,0h 0m 0s,0h 0m 0s,1581391584,1581391584,1,2,,Text1,1,Windows 10.0,Chrome 79.0.3945.130,,1042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
